@Iz_Alves;birapb;1347478164000;NULL;
@RJuniorPb;birapb;1347478167000;NULL;
@RJuniorPb;birapb;1347478216000;NULL;
@RJuniorPb;birapb;1347478264000;NULL;
@Iz_Alves;birapb;1347478316000;NULL;
@RJuniorPb;birapb;1347478318000;NULL;
@RJuniorPb;birapb;1347478390000;NULL;
@Ceissa_Med;birapb;1347478857000;NULL;
@Iz_Alves;birapb;1347478945000;NULL;
@mariogomesfilho;birapb;1347479024000;-7.15225602,-34.88170931;
@RJuniorPb;birapb;1347479112000;NULL;
@RJuniorPb;birapb;1347479347000;NULL;
@RJuniorPb;birapb;1347479489000;NULL;
@RJuniorPb;birapb;1347479626000;NULL;
@Ceissa_Med;birapb;1347479724000;NULL;
@gabrielhonorat0;birapb;1347569337000;NULL;
@romulogondim;birapb;1347569466000;NULL;
@bertrandsousa;informebira;1347575758000;NULL;
@InformeBira;birapb;1347576244000;NULL;
@InformeBira;birapb;1347577478000;NULL;
@VOTOCICERO45;birapb;1347577555000;NULL;
@VOTOCICERO45;birapb;1347577693000;NULL;
@InformeBira;birapb;1347577746000;NULL;
@ThiagoPachecoB;birapb;1347577767000;NULL;
@Joubertjfa;birapb;1347578051000;NULL;
@Joubertjfa;informebira;1347578230000;NULL;
@miltonjpa;informebira;1347578230000;NULL;
@DrValterPaiva;informebira;1347578395000;NULL;
@InformeBira;birapb;1347578527000;NULL;
@InformeBira;informebira;1347578551000;NULL;
@kessiaponce;informebira;1347578760000;NULL;
@VOTOCICERO45;informebira;1347580577000;NULL;
@Apsm_PTPb;birapb;1347580612000;NULL;
@kessiaponce;informebira;1347580698000;NULL;
@Apsm_PTPb;informebira;1347580854000;NULL;
@VOTOCICERO45;informebira;1347580919000;NULL;
@sergiocomprador;informebira;1347581073000;NULL;
@liciafreire;birapb;1347581269000;NULL;
@miltonjpa;informebira;1347581797000;NULL;
@RangelJuniorJP;birapb;1347582238000;NULL;
