@AnneKaNobrega;cicerolucena;1347215292000;NULL;
@tiagomaritan;cicerolucena;1347217153000;NULL;
@HelinhoCds;#Cicero45;1347218957000;NULL;
@Mailson_45789;cicerolucena;1347219009000;NULL;
@23elivelton;cicerolucena;1347222721000;NULL;
@Sauloaamaral;cicerolucena;1347284512000;NULL;
@FelipeCowboy1;cicerolucena;1347284930000;NULL;
@taniamaura;Cicero Lucena;1347290413000;NULL;
@ricarlo_andrade;cicerolucena;1347290651000;NULL;
@casc_pb;cicerolucena;1347290855000;NULL;
@fikkumamoto;cicerolucena;1347291203000;NULL;
@Luistorrespb;cicerolucena;1347291363000;NULL;
@fikkumamoto;cicerolucena;1347291372000;NULL;
@_olucena;cicerolucena;1347291430000;NULL;
@francinaldocb;cicerolucena;1347291472000;NULL;
@bradsoncamelo;cicerolucena;1347291500000;NULL;
@hilder_eco;cicerolucena;1347291548000;NULL;
@Hellensoma;cicerolucena;1347291556000;NULL;
@hilder_eco;cicerolucena;1347291606000;NULL;
@FelipeCowboy1;cicerolucena;1347291686000;NULL;
@FelipeCowboy1;cicerolucena;1347291774000;NULL;
@denisemiranda_;cicerolucena;1347291825000;NULL;
@palmeiracamila;cicerolucena;1347291857000;NULL;
@liciafreire;cicerolucena;1347291857000;NULL;
@fikkumamoto;#Cicero45;1347291893000;NULL;
@Jeremiasjl;cicerolucena;1347291900000;NULL;
@bradsoncamelo;#Cicero45;1347291921000;NULL;
@hilder_eco;#Cicero45;1347291971000;NULL;
@neziagomes;cicerolucena;1347292030000;NULL;
@fikkumamoto;cicerolucena;1347292054000;NULL;
@FelipeCowboy1;#Cicero45;1347292078000;NULL;
@bradsoncamelo;cicerolucena;1347292109000;NULL;
@bradsoncamelo;cicerolucena;1347292147000;NULL;
@fikkumamoto;cicerolucena;1347292207000;NULL;
@fikkumamoto;cicerolucena;1347292309000;NULL;
@casc_pb;cicerolucena;1347292426000;NULL;
@bradsoncamelo;cicerolucena;1347292502000;NULL;
